X,Y,P27_001,P27_002,P27_003,P27_004,P27_005,P27_006,P27_007,P27_008,P27_009
140.035886,40.211026,05202,3,03002,03002,井坂記念館,御指南町25,3,-99,1972
140.260825,40.218865,05202,3,03002,03002,能代市ニツ井町歴史資料館,二ツ井町小繋字湯ノ沢34-1,3,1,1992
140.024873,40.216448,05202,3,03002,03002,能代市子ども館,大町10-1,3,2,1987
140.557784,40.266817,05204,3,03002,03002,山田記念館三鶏資料収蔵庫,常盤木町6-7,4,-99,1972
140.564059,40.27315,05204,3,03002,03002,秋田犬博物室,字三ノ丸13-1,4,3,1977
140.58026,40.299187,05204,3,03002,03002,大館郷土博物館,釈迦内字獅子ケ森1,3,3,1996
140.553163,40.331911,05204,3,03002,03002,大館市立鳥潟会館附属郷土資料庫,花岡町字根井下156,3,2,1951
140.583829,40.224465,05204,3,03002,03002,比内郷土民俗資料館,比内町扇田字庚申岱8（比内公民館内）,3,-99,1980
140.752931,40.182834,05209,3,03002,03002,鹿角市鉱山歴史館,尾去沢字獅子沢9-11,3,-99,1982
140.770234,40.273245,05209,3,03002,03002,鹿角市先人顕彰館,十和田毛馬内字柏崎3-2,3,1,1988
140.806655,40.274157,05209,3,03002,03002,大湯ストーンサークル館,十和田大湯字万座45,3,-99,2002
140.376112,40.251054,05213,3,03002,03002,大太鼓の館,綴子字大提道下62-1,3,-99,1989
140.367375,40.118575,05213,3,03002,03002,浜辺の歌音楽館,米内沢字寺の下17-4,3,-99,1988
140.740664,40.323562,05303,3,03002,03002,小坂町立総合博物館郷土館,小坂字中前田48-1,3,-99,1982
140.291972,40.307353,05346,3,03002,03002,藤里町歴史民俗資料館,藤琴字下湯の沢29,3,-99,9999
140.081244,40.033002,05348,3,03002,03002,三種町立琴丘歴史民俗資料館「縄文の館」「三種の館」,鹿渡字東小瀬川51,3,-99,9999
140.027755,40.202608,05202,3,03003,03003,能代市立図書館,追分町4-26,3,-99,1990
140.554315,40.327831,05204,3,03003,03003,大館市立花矢図書館,花岡町字前田162-3,4,-99,2005
140.562257,40.268202,05204,3,03003,03003,大館市立中央図書館,字谷地町13,4,-99,1983
140.44621,40.27012,05204,3,03003,03003,大館市立田代図書館,早口字上野43-1,4,-99,1980
140.791823,40.190718,05209,3,03003,03003,鹿角市立花輪図書館,花輪字中花輪114-2,3,-99,1979
140.769558,40.265496,05209,3,03003,03003,鹿角市立立山文庫継承十和田図書館,十和田毛馬内字上陣場19-5,3,-99,1987
140.368075,40.118848,05213,3,03003,03003,北秋田市森吉図書館,米内沢字寺の下16-3,3,-99,9999
140.373564,40.232189,05213,3,03003,03003,北秋田市鷹巣図書館,材木町2-3,3,-99,9999
140.740873,40.323829,05303,3,03003,03003,小坂町立小坂図書館,小坂字中前田54-1,3,-99,9999
140.297633,40.064121,05327,3,03003,03003,上小阿仁村立図書館,小沢田字向川原60-3,3,2,9999
140.583603,40.224008,05204,3,99999,03003,大館市立比内図書館,比内町扇田字庚申岱8,4,-99,1976
140.026756,40.216489,05202,3,99999,03109,能代市総合体育館,大町9-53,4,-99,9999
140.026756,40.216344,05202,3,99999,03120,能代市総合体育館,大町9-53,4,-99,9999
140.026721,40.216217,05202,3,99999,03112,能代市総合体育館,大町9-53,4,-99,9999
140.026697,40.21609,05202,3,99999,03113,能代市総合体育館,大町9-53,4,-99,9999
140.026412,40.216507,05202,3,99999,03132,能代市総合体育館,大町9-53,4,-99,9999
140.026388,40.216371,05202,3,99999,03116,能代市総合体育館,大町9-53,4,-99,9999
140.026376,40.216217,05202,3,99999,03129,能代市総合体育館,大町9-53,4,-99,9999
140.026364,40.216108,05202,3,99999,03138,能代市総合体育館,大町9-53,4,-99,9999
140.233759,40.204313,05202,3,99999,03109,二ツ井町総合体育館,二ツ井町上台60,4,-99,2005
140.233474,40.204204,05202,3,99999,03120,二ツ井町総合体育館,二ツ井町上台60,4,-99,2005
140.233866,40.204214,05202,3,99999,03116,二ツ井町総合体育館,二ツ井町上台60,4,-99,2005
140.233581,40.204105,05202,3,99999,03129,二ツ井町総合体育館,二ツ井町上台60,4,-99,2005
140.031058,40.211375,05202,3,99999,03109,生年金能代市体育館（市民体育館）,富町1-3,4,-99,1960
140.031023,40.211266,05202,3,99999,03120,生年金能代市体育館（市民体育館）,富町1-3,4,-99,1960
140.031011,40.211166,05202,3,99999,03116,生年金能代市体育館（市民体育館）,富町1-3,4,-99,1960
140.245271,40.218903,05202,3,99999,03109,荷上場体育館,二ツ井町荷上場字鍋良子出口1-1,4,-99,1993
140.012998,40.233608,05202,3,99999,03109,海洋センター,落合字亀谷地1-65,4,-99,1980
140.012992,40.233526,05202,3,99999,03120,海洋センター,落合字亀谷地1-65,4,-99,1980
140.013034,40.233127,05202,3,99999,03112,海洋センター,落合字亀谷地1-65,4,-99,1980
140.02839,40.21608,05202,3,99999,03106,能代市民プール,万町8-50,4,-99,9999
140.013087,40.232932,05202,3,99999,03121,能代市弓道場,落合字亀谷地1-65,4,-99,9999
140.012315,40.232691,05202,3,99999,03109,土床体育館,落合字亀谷地1-65,4,-99,1997
140.012315,40.232573,05202,3,99999,03116,土床体育館,落合字亀谷地1-65,4,-99,1997
140.012315,40.232446,05202,3,99999,03138,土床体育館,落合字亀谷地1-65,4,-99,1997
140.012042,40.231911,05202,3,99999,03102,土床体育館,落合字亀谷地1-65,4,-99,1997
140.011982,40.232038,05202,3,99999,03103,土床体育館,落合字亀谷地1-65,4,-99,1997
140.015953,40.210921,05202,3,99999,03101,陸上競技場,末広町66-1,4,-99,1954
140.016636,40.234943,05202,3,99999,03102,能代球場,落合字下台3,4,-99,1985
140.22408,40.19697,05202,3,99999,03102,二ツ井球場,二ツ井町稗川原113,4,-99,1987
140.017358,40.211402,05202,3,99999,03102,市民球場,盤若町64-39,4,-99,1915
140.01368,40.170319,05202,3,99999,03102,赤沼球場,浅内字赤沼236,4,-99,1987
140.01584,40.232468,05202,3,99999,03102,誠邦園球場,落合字下台2の内,4,-99,9999
140.015603,40.231334,05202,3,99999,03102,落合第一球場,落合字下台2の内,4,-99,1971
140.012283,40.226968,05202,3,99999,03102,落合三面球場,落合字古悪土1-1,4,-99,9999
140.012254,40.233998,05202,3,99999,03115,落合テニスコート,落合字亀谷地1-67,4,-99,9999
140.017102,40.212418,05202,3,99999,03115,公園テニスコート,盤若町64-39,4,-99,9999
140.26254,40.218448,05202,3,99999,03115,二ツ井テニスコート,二ツ井町小繋字湯の沢28-1,4,-99,9999
